ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working hours,TRANSLATE,CONVERT,REDONDEAR
3,2,2,1,4,4,1,1,1,2,4,4,5,5,4,2,2,1971,8,1,15,2,3,35,35,35,35
2,3,2,3,3,2,2,3,3,1,5,4,3,3,3,2,2,1962,1,1,15,3,2,35,35,35,35
2,3,3,3,2,2,2,4,3,2,3,2,2,1,2,2,2,1961,1,1,15,2,4,40-50,40-50,50,50
3,2,2,3,4,1,1,3,3,3,3,4,4,2,3,1,2,1972,1,2,15,1,3,ca. 50,approximately 50,50,50
3,2,3,3,2,1,1,3,3,3,3,1,1,1,1,1,2,1988,2,11,15,4,3,45,45,45,45
2,2,2,2,3,3,3,2,2,1,4,4,3,2,3,3,1,1953,1,1,4,4,2,,#VALUE!,#VALUE!,0
4,4,4,2,4,4,3,1,1,1,4,4,5,3,4,2,2,1977,1,1,2,2,2,42,42,42,42
3,3,4,3,2,2,1,3,4,4,4,4,4,4,3,3,1,1975,1,1,13,1,6,70,70,70,70
2,2,3,4,3,2,1,3,3,3,3,3,2,1,2,2,2,1965,1,1,4,3,4,40,40,40,40
3,3,2,2,2,2,2,2,3,2,4,4,4,3,3,3,2,1977,2,1,10,2,2,30,30,30,30
3,3,3,2,3,2,1,1,1,1,4,3,4,3,4,2,2,1986,2,1,3,4,2,70,70,70,70
3,2,3,2,3,2,2,2,2,3,3,3,3,2,2,2,1,1949,7,3,15,2,6,80-100,80-100,00,0
3,3,3,2,1,2,1,3,3,1,4,4,3,2,3,3,2,1966,1,1,15,1,2,60,60,60,60
4,3,4,4,3,1,1,3,3,1,2,3,3,2,2,1,2,1964,2,1,2,3,4,50,50,50,50
3,3,4,2,4,3,1,2,1,1,4,3,4,2,3,3,2,1963,1,3,13,1,3,60,60,60,60
2,3,3,3,3,1,2,3,3,2,3,4,2,2,3,2,2,1987,2,3,15,1,2,50,50,50,50
3,2,3,1,3,2,1,2,2,1,4,4,4,4,5,3,2,1985,2,1,13,4,2,60,60,60,60
3,4,3,3,1,2,2,3,3,3,3,2,2,1,2,1,1,1963,1,1,8,3,3,55,55,55,55
3,3,1,3,3,3,1,2,1,2,2,2,3,1,1,1,1,1954,1,1,15,2,5,60,60,60,60
3,3,3,2,3,2,1,3,3,2,4,4,4,2,3,1,1,1968,1,1,4,3,5,60,60,60,60
3,2,3,3,1,1,1,3,2,2,4,3,3,3,3,3,2,1970,1,2,9,1,5,60,60,60,60
2,3,3,3,2,1,1,3,3,3,4,3,4,3,3,2,2,1954,1,2,2,1,5,50 - 70,50 - 70,70,70
3,2,3,4,3,2,2,4,2,3,2,3,3,3,3,2,2,1972,2,8,15,2,1,45,45,45,45
2,3,2,2,3,1,2,2,3,2,4,3,2,4,4,2,2,1975,2,9,13,4,5,42,42,42,42
3,2,3,2,3,2,2,2,2,1,4,4,3,3,4,4,2,1961,1,1,15,2,2,50,50,50,50
3,3,3,3,3,2,2,2,2,2,3,3,3,2,3,3,2,1971,2,1,4,4,2,35,35,35,35
4,4,4,1,4,4,2,1,1,1,5,5,5,5,5,5,2,1978,2,1,2,3,2,50-60,50-60,60,60
2,2,2,2,4,3,2,1,1,1,4,4,4,4,4,2,1,1970,2,1,13,4,2,45,45,45,45
3,2,2,3,3,2,2,2,2,1,2,3,2,1,2,2,2,1982,4,3,15,1,1,,#VALUE!,#VALUE!,0
3,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,2,1976,2,1,15,1,3,40,40,40,40
4,4,4,2,1,4,2,2,4,1,5,5,5,5,5,4,1,1960,1,1,13,1,1,70,70,70,70
2,1,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,1963,2,14,15,1,2,20,20,20,20
4,3,3,3,1,1,1,3,4,2,4,2,2,3,3,2,1,1979,2,2,10,1,4,70,70,70,70
3,3,3,2,4,2,2,1,1,1,4,5,4,4,4,3,2,1981,2,1,15,2,2,ca. 50,approximately 50,50,50
3,3,4,1,4,3,1,1,1,2,4,2,2,1,2,1,2,1975,2,9,9,3,4,45,45,45,45
3,3,3,1,4,2,1,1,1,1,4,4,3,3,3,3,2,1979,2,2,15,1,2,55,55,55,55
3,4,4,2,4,3,2,1,1,1,5,5,5,3,4,2,2,1985,2,1,15,1,3,45,45,45,45
4,3,4,1,3,4,4,2,2,2,4,4,4,4,4,4,2,1983,4,1,10,2,3,70,70,70,70
4,4,4,3,2,3,1,3,3,3,4,4,4,2,3,3,2,1979,2,9,7,1,3,40,40,40,40
3,3,4,3,3,2,2,2,1,1,4,3,3,3,3,2,2,1986,2,1,16,4,2,50,50,50,50
3,3,3,3,3,2,2,3,3,2,5,4,4,4,4,2,2,1974,1,1,9,2,4,48,48,48,48
3,3,3,4,2,1,1,3,3,4,3,3,2,2,3,2,1,1962,2,1,13,4,1,50,50,50,50
2,2,2,2,2,2,2,2,3,3,2,2,1,1,1,1,1,1959,1,1,2,1,4,25,25,25,25
3,3,3,2,3,3,3,1,1,2,4,4,4,4,4,4,2,1981,5,13,4,4,1,,#VALUE!,#VALUE!,0
3,3,3,2,2,2,2,2,2,2,4,4,4,4,4,3,2,1984,2,1,2,4,3,60,60,60,60
3,3,3,2,3,3,1,1,1,1,4,4,4,4,4,3,2,1975,1,1,15,3,3,60,60,60,60
4,3,4,2,4,3,2,1,1,2,5,5,4,4,4,5,2,1976,2,1,15,4,2,45,45,45,45
3,3,2,3,3,3,3,2,2,1,4,4,4,3,4,2,2,1977,2,1,9,1,2,50,50,50,50
3,3,3,2,2,2,1,2,2,1,4,4,3,2,3,3,2,1986,2,2,10,2,4,75,75,75,75
2,2,3,3,3,2,2,2,2,1,3,2,2,1,1,1,2,1970,2,1,10,4,1,15,15,15,15
3,2,2,3,2,1,2,3,3,3,3,4,3,2,3,2,2,1987,2,6,9,4,2,30,30,30,30
3,3,4,3,1,2,2,4,4,4,3,3,3,2,3,2,1,1936,7,3,15,1,6,60,60,60,60
4,3,3,3,4,2,4,3,3,1,4,4,4,3,3,2,2,1989,2,1,3,4,2,46,46,46,46
1,3,2,3,3,2,2,3,3,3,4,4,4,3,4,3,2,1992,9,13,15,1,1,39,39,39,39
3,3,4,3,3,2,1,3,2,1,4,2,4,2,4,1,2,1968,1,6,15,2,1,20,20,20,20
3,3,4,2,2,2,2,1,3,1,4,4,4,4,4,4,2,1990,2,1,3,4,2,75,75,75,75
3,2,2,3,2,2,2,3,3,3,3,3,2,2,2,1,2,1990,2,3,10,2,2,50,50,50,50
3,2,3,2,2,3,2,2,2,1,4,4,4,4,5,3,2,1983,2,2,9,1,2,50,50,50,50
3,3,3,2,3,2,2,2,3,2,5,4,4,3,3,3,2,1986,2,1,6,4,2,42,42,42,42
3,2,3,2,2,3,2,3,3,1,4,4,3,2,2,2,1,1942,1,1,4,3,2,60,60,60,60
4,2,3,4,2,2,2,2,2,2,4,4,3,3,3,2,2,1969,2,1,13,1,2,45-50,45-50,50,50
2,3,1,2,3,1,1,2,2,3,4,4,4,3,3,3,2,1991,2,2,15,1,2,50,50,50,50
3,3,2,2,3,2,1,2,3,2,5,4,4,3,4,2,2,1987,2,3,2,2,3,45,45,45,45
3,3,3,3,3,2,2,3,2,3,4,3,4,2,2,2,1,,2,9,2,1,4,45,45,45,45
4,4,4,3,4,1,1,1,1,1,3,2,2,1,2,2,2,1981,2,1,2,4,3,40,40,40,40
3,2,2,4,2,2,1,3,3,2,4,4,4,3,4,3,2,1985,2,1,13,4,2,40,40,40,40
2,2,2,2,3,3,4,2,2,3,4,4,4,3,3,2,2,1987,2,1,15,4,2,30,30,30,30
3,3,2,3,3,4,4,2,2,2,5,4,4,2,2,1,2,1960,1,3,1,2,3,60,60,60,60
4,4,4,1,4,2,2,1,3,1,3,4,4,4,4,3,2,1987,2,1,14,1,1,45,45,45,45
4,3,3,2,2,2,2,1,3,3,4,4,4,3,4,2,2,1971,1,1,15,3,1,60,60,60,60
3,3,2,2,3,2,2,2,2,2,4,4,3,2,3,3,2,1976,4,13,15,2,1,10,10,10,10
2,2,3,4,2,2,2,3,2,2,3,4,2,2,2,2,2,1991,2,3,15,3,2,60,60,60,60
3,2,3,3,2,3,2,3,3,2,3,3,4,3,3,2,2,1966,1,1,4,2,2,44,44,44,44
3,4,4,1,4,4,2,1,2,1,5,4,4,4,4,2,2,1971,1,1,2,4,5,35,35,35,35
4,3,1,3,3,3,1,3,3,3,5,4,4,3,3,3,2,1982,4,3,9,1,3,55,55,55,55
3,3,3,3,2,2,1,2,3,2,2,2,2,3,2,1,2,1985,2,1,13,1,2,20,20,20,20
3,3,3,2,2,2,2,2,3,3,3,2,2,2,2,1,2,1975,2,9,3,4,3,40,40,40,40
2,2,3,4,1,2,1,4,4,3,4,3,2,1,3,2,2,1980,2,3,4,1,3,35,35,35,35
3,3,2,2,2,2,1,2,2,2,4,3,3,2,3,3,2,1978,2,2,2,2,4,50,50,50,50
2,2,3,3,1,3,1,4,3,3,3,2,2,1,2,2,2,1986,2,3,13,4,2,43,43,43,43
3,2,3,3,4,2,1,2,2,1,4,3,4,3,4,2,2,1987,2,1,15,3,2,45,45,45,45
3,1,2,3,2,2,2,3,2,2,4,3,2,3,4,3,2,1982,2,1,2,4,2,45,45,45,45
4,3,4,1,4,4,1,1,1,3,4,3,4,4,4,4,1,1969,2,9,13,2,3,15,15,15,15
3,3,3,1,2,1,1,1,2,1,4,4,4,3,4,4,1,1975,2,1,2,4,3,40,40,40,40
2,2,4,3,2,2,1,3,3,3,3,1,2,2,1,1,2,1982,1,3,13,1,4,40,40,40,40
4,3,3,4,4,1,1,4,4,2,4,4,3,4,4,1,2,1961,1,1,13,1,2,50,50,50,50
3,3,3,4,2,2,2,3,3,2,4,3,2,1,2,2,2,1976,2,2,2,1,5,45,45,45,45
4,4,3,3,4,3,2,2,1,1,3,4,4,4,4,4,2,1980,2,1,15,3,5,35,35,35,35
3,3,3,3,3,2,2,3,2,3,3,3,2,1,2,1,2,1981,2,9,13,4,3,42,42,42,42
3,4,3,2,4,4,4,2,2,1,4,4,4,4,4,3,2,1987,2,11,12,3,2,60,60,60,60
2,2,2,3,3,2,2,3,3,2,3,2,3,2,3,2,2,1978,2,3,15,3,2,18,18,18,18
3,3,3,4,4,2,2,3,3,3,4,4,2,1,3,4,2,1967,2,9,4,1,3,30,30,30,30
2,3,3,1,4,4,3,2,2,3,4,4,4,2,3,2,2,1989,2,1,2,4,3,55,55,55,55
2,1,1,3,1,1,1,3,3,4,4,3,2,2,2,1,2,1961,1,2,15,2,4,40,40,40,40
