ERI_1,ERI_2,ERI_3,ERI_4,ERI_5,ERI_6,ERI_7,ERI_8,ERI_9,ERI_10,CBI_01,CBI_02,CBI_03,CBI_04,CBI_05,CBI_06,gender,birth year,status of employment,field of work,federal state,community size,income,working_hours,age,CBI_SCORE,Burnout_Score
Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Often,Always,Often,Always,Always,Often,Female,1973.0,Employed,Small Animal Medicine,Schleswig-Holstein,5000 pop. aprox.,2. 1000 to 2000 eur,30,53.0,87.5,1
Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Often,Often,Often,Often,Sometimes,Always,Male,1972.0,Self-Employed,Small Animal Medicine,Schleswig-Holstein,20000 pop. aprox.,5. 4000 to 5000 eur,55,54.0,75.0,1
Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Seldom,Seldom,Sometimes,Often,Sometimes,Sometimes,Female,1960.0,Self-Employed,Small Animal Medicine,Baden-Wurttemberg,5000 pop. aprox.,3. 2000 to 3000 eur,40,66.0,45.8,0
Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Seldom,Seldom,Seldom,Sometimes,Seldom,Sometimes,Male,1979.0,Employed,Farm Animals,Schleswig-Holstein,50000 pop. aprox.,3. 2000 to 3000 eur,60,47.0,33.3,0
Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Seldom,Sometimes,Seldom,Often,Seldom,Often,Male,1965.0,Self-Employed,Farm Animals,Saxony (Sachsen),5000 pop. aprox.,6. more than 5000 eur,80,61.0,45.8,0
Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Seldom,Seldom,Seldom,Sometimes,Seldom,Often,Male,1962.0,Self-Employed,Horses,Schleswig-Holstein,50000 pop. aprox.,1. less than 1000 eur,70,64.0,37.5,0
Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Seldom,Seldom,Seldom,Seldom,Seldom,Sometimes,Female,1988.0,Employed,Small Animal Medicine,Saxony (Sachsen),100000 pop. aprox.,1. less than 1000 eur,30,38.0,29.2,0
Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Sometimes,Female,1978.0,Employed,Farm Animals,Schleswig-Holstein,5000 pop. aprox.,3. 2000 to 3000 eur,80,48.0,41.7,0
Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Seldom,Sometimes,Often,Always,Always,Always,Female,1972.0,Self-Employed,Horses,Niedersachsen,50000 pop. aprox.,4. 3000 to 4000 eur,46,54.0,75.0,1
Agree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Seldom,Seldom,Sometimes,Sometimes,Sometimes,Often,Male,1968.0,Self-Employed,Farm Animals,Schleswig-Holstein,5000 pop. aprox.,3. 2000 to 3000 eur,70,58.0,45.8,0
